HDI rank,Country,Human Development Index (HDI Value) ,ISO3,Continent,Hemisphere,Human Development Groups,Maternal Mortality Ratio Average (1990-1999),Maternal Mortality Ratio Average (2000-2010),Maternal Mortality Ratio Average (2011-2021)
156,Comoros,0.558,COM,Africa,Southern Hemisphere,Medium,522.0,392.5,299.5
156,Papua New Guinea,0.558,PNG,Oceania,Southern Hemisphere,Medium,299.0,208.5,155.5
158,Mauritania,0.556,MRT,Africa,Northern Hemisphere,Medium,822.0,829.0,794.0
161,Pakistan,0.544,PAK,Asia,Northern Hemisphere,Low,358.0,238.5,160.0
162,Togo,0.539,TGO,Africa,Northern Hemisphere,Low,509.0,464.5,409.0
163,Haiti,0.535,HTI,America,Northern Hemisphere,Low,572.5,471.5,488.0
163,Nigeria,0.535,NGA,Africa,Northern Hemisphere,Low,1220.0,1089.0,944.5
165,Rwanda,0.534,RWA,Africa,Southern Hemisphere,Low,1225.0,766.5,298.5
166,Benin,0.525,BEN,Africa,Northern Hemisphere,Low,548.5,492.0,427.5
166,Uganda,0.525,UGA,Africa,Northern Hemisphere,Low,668.5,504.0,397.0
168,Lesotho,0.514,LSO,Africa,Southern Hemisphere,Low,600.0,604.0,564.5
169,Malawi,0.512,MWI,Africa,Southern Hemisphere,Low,867.5,596.5,388.5
170,Senegal,0.511,SEN,Africa,Northern Hemisphere,Low,569.5,500.0,369.0
171,Djibouti,0.509,DJI,Africa,Northern Hemisphere,Low,564.5,395.0,260.0
172,Sudan,0.508,SDN,Africa,Northern Hemisphere,Low,792.5,537.5,342.5
173,Madagascar,0.501,MDG,Africa,Southern Hemisphere,Low,660.5,506.0,383.5
174,Gambia,0.5,GMB,Africa,Northern Hemisphere,Low,972.5,796.5,626.5
175,Ethiopia,0.498,ETH,Africa,Northern Hemisphere,Low,1155.0,813.5,479.5
176,Eritrea,0.492,ERI,Africa,Northern Hemisphere,Low,1550.0,923.5,519.0
177,Guinea-Bissau,0.483,GNB,Africa,Northern Hemisphere,Low,1335.0,994.5,714.5
178,Liberia,0.481,LBR,Africa,Northern Hemisphere,Low,1055.0,801.0,677.5
180,Afghanistan,0.478,AFG,Asia,Northern Hemisphere,Low,1485.0,1202.0,771.5
181,Sierra Leone,0.477,SLE,Africa,Northern Hemisphere,Low,2760.0,1920.0,1195.0
182,Guinea,0.465,GIN,Africa,Northern Hemisphere,Low,885.0,883.5,662.0
183,Yemen,0.455,YEM,Asia,Northern Hemisphere,Low,377.5,246.5,175.5
184,Burkina Faso,0.449,BFA,Africa,Northern Hemisphere,Low,616.5,450.5,348.5
185,Mozambique,0.446,MOZ,Africa,Southern Hemisphere,Low,1129.5,605.0,339.0
186,Mali,0.428,MLI,Africa,Northern Hemisphere,Low,898.5,748.0,612.5
187,Burundi,0.426,BDI,Africa,Southern Hemisphere,Low,1160.0,837.5,591.5
188,Central African Republic,0.404,CAF,Africa,Northern Hemisphere,Low,1265.0,1140.0,905.0
189,Niger,0.4,NER,Africa,Northern Hemisphere,Low,851.0,738.0,574.0
190,Chad,0.394,TCD,Africa,Northern Hemisphere,Low,1360.0,1330.0,1175.0
191,South Sudan,0.385,SSD,Africa,Northern Hemisphere,Low,1880.0,1415.0,1110.0
