HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developeing Regions,HDI Rank (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
8,Ireland,0.945,82.0,18.9,11.6,"76,169",-3,IRL,Europe,Northern Hemisphere,Very High,,8,6.5,6.5,6.0
121,Iraq,0.686,70.4,12.1,7.9,"9,977",-12,IRQ,Asia,Northern Hemisphere,Medium,AS,121,122.5,74.5,73.0
3,Iceland,0.959,82.7,19.2,13.8,"55,782",11,ISL,Europe,Northern Hemisphere,Very High,,3,7.0,5.5,4.5
22,Israel,0.919,82.3,16.1,13.3,"41,524",10,ISR,Asia,Northern Hemisphere,Very High,,22,9.5,5.5,3.5
30,Italy,0.895,82.9,16.2,10.7,"42,840",0,ITA,Europe,Northern Hemisphere,Very High,,30,5.5,3.0,2.0
110,Jamaica,0.709,70.5,13.4,9.2,"8,834",4,JAM,America,Northern Hemisphere,High,LAC,110,79.0,78.0,79.5
102,Jordan,0.72,74.3,10.6,10.4,"9,924",8,JOR,Asia,Northern Hemisphere,High,AS,102,84.5,61.5,49.0
19,Japan,0.925,84.8,15.2,13.4,"42,274",12,JPN,Asia,Northern Hemisphere,Very High,,19,11.0,7.5,5.5
56,Kazakhstan,0.811,69.4,15.8,12.3,"23,943",1,KAZ,Asia,Northern Hemisphere,Very High,ECA,56,69.0,41.5,14.5
152,Kenya,0.575,61.4,10.7,6.7,"4,474",-6,KEN,Africa,Northern Hemisphere,Medium,SSA,152,720.5,570.0,370.0
118,Kyrgyzstan,0.692,70.0,13.2,11.4,"4,566",26,KGZ,Asia,Northern Hemisphere,Medium,ECA,118,76.5,79.0,69.5
146,Cambodia,0.593,69.6,11.5,5.1,"4,079",3,KHM,Asia,Northern Hemisphere,Medium,EAP,146,699.0,368.0,196.0
136,Kiribati,0.624,67.4,11.8,8.0,"4,063",14,KIR,Oceania,Northern Hemisphere,Medium,EAP,136,177.5,124.0,101.0
75,Saint Kitts and Nevis,0.777,71.7,15.4,8.7,"23,358",-16,KNA,America,Northern Hemisphere,High,LAC,75,,,
50,Kuwait,0.831,78.7,15.3,7.3,"52,920",-32,KWT,Asia,Northern Hemisphere,Very High,AS,50,10.5,10.0,11.0
112,Lebanon,0.706,75.0,11.3,8.7,"9,526",-1,LBN,Asia,Northern Hemisphere,High,AS,112,39.0,25.5,27.0
178,Liberia,0.481,60.7,10.4,5.1,"1,289",7,LBR,Africa,Northern Hemisphere,Low,SSA,178,1055.0,801.0,677.5
104,Libya,0.718,71.9,12.9,7.6,"15,336",-27,LBY,Africa,Northern Hemisphere,High,AS,104,84.5,61.5,64.0
106,Saint Lucia,0.715,71.1,12.9,8.5,"12,048",-7,LCA,America,Northern Hemisphere,High,LAC,106,81.5,97.5,116.5
16,Liechtenstein,0.935,83.3,15.2,12.5,"146,830",-15,LIE,Europe,Northern Hemisphere,Very High,,16,,,
73,Sri Lanka,0.782,76.4,14.1,10.8,"12,578",21,LKA,Asia,Northern Hemisphere,High,SA,73,68.0,47.0,37.0
168,Lesotho,0.514,53.1,12.0,6.0,"2,700",-2,LSO,Africa,Southern Hemisphere,Low,SSA,168,600.0,604.0,564.5
35,Lithuania,0.875,73.7,16.3,13.5,"37,931",5,LTU,Europe,Northern Hemisphere,Very High,,35,23.0,13.5,9.0
17,Luxembourg,0.93,82.6,14.4,13.0,"84,649",-13,LUX,Europe,Northern Hemisphere,Very High,,17,11.0,9.0,6.5
39,Latvia,0.863,73.6,16.2,13.3,"32,803",4,LVA,Europe,Northern Hemisphere,Very High,,39,43.5,30.0,22.5
123,Morocco,0.683,74.0,14.2,5.9,"7,303",1,MAR,Africa,Northern Hemisphere,Medium,AS,123,253.0,140.0,78.0
173,Madagascar,0.501,64.5,10.1,5.1,"1,484",8,MDG,Africa,Southern Hemisphere,Low,SSA,173,660.5,506.0,383.5
90,Maldives,0.747,79.9,12.6,7.3,"15,448",-14,MDV,Asia,Northern Hemisphere,High,SA,90,358.5,96.0,57.5
86,Mexico,0.758,70.2,14.9,9.2,"17,896",-16,MEX,America,Northern Hemisphere,High,LAC,86,61.5,50.5,38.0
131,Marshall Islands,0.639,65.3,10.2,10.9,"4,620",12,MHL,Oceania,Northern Hemisphere,Medium,EAP,131,,,
78,North Macedonia,0.77,73.8,13.6,10.2,"15,918",-3,MKD,Europe,Northern Hemisphere,High,ECA,78,15.0,10.5,7.5
186,Mali,0.428,58.9,7.4,2.3,"2,133",-11,MLI,Africa,Northern Hemisphere,Low,SSA,186,898.5,748.0,612.5
23,Malta,0.918,83.8,16.8,12.2,"38,884",12,MLT,Europe,Northern Hemisphere,Very High,,23,10.5,8.5,6.5
149,Myanmar,0.585,65.7,10.9,6.4,"3,851",5,MMR,Asia,Northern Hemisphere,Medium,EAP,149,391.0,302.5,254.5
49,Montenegro,0.832,76.3,15.1,12.2,"20,839",16,MNE,Europe,Northern Hemisphere,Very High,ECA,49,12.0,9.5,6.5
96,Mongolia,0.739,71.0,15.0,9.4,"10,588",9,MNG,Asia,Northern Hemisphere,High,EAP,96,184.5,110.5,52.0
185,Mozambique,0.446,59.3,10.2,3.2,"1,198",2,MOZ,Africa,Southern Hemisphere,Low,SSA,185,1129.5,605.0,339.0
