HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
58,Uruguay,0.809,75.4,16.8,9.0,"21,269",5,America,Southern Hemisphere,Very High,LAC,0.406,0.351,0.2825,31.5,21.5,17.0
60,Belarus,0.808,72.4,15.2,12.1,"18,849",8,Europe,Northern Hemisphere,Very High,ECA,,0.151,0.1275,29.0,13.5,3.5
61,Panama,0.805,76.2,13.1,10.5,"26,957",-8,America,Northern Hemisphere,Very High,LAC,0.5265,0.5105,0.4495,99.0,85.0,64.0
62,Malaysia,0.803,74.9,13.3,10.6,"26,658",-8,Asia,Northern Hemisphere,Very High,EAP,0.344,0.2845,0.256,43.5,34.0,29.5
63,Georgia,0.802,71.7,15.6,12.8,"14,664",17,Asia,Northern Hemisphere,Very High,ECA,,0.40149999999999997,0.34550000000000003,32.5,31.5,28.5
63,Mauritius,0.802,73.6,15.2,10.4,"22,025",-1,Africa,Southern Hemisphere,Very High,SSA,0.4925,0.436,0.359,74.0,62.5,57.5
63,Serbia,0.802,74.2,14.4,11.4,"19,123",4,Europe,Northern Hemisphere,Very High,ECA,,0.194,0.1615,13.5,12.5,12.0
66,Thailand,0.8,78.7,15.9,8.7,"17,030",6,Asia,Northern Hemisphere,Very High,EAP,0.4295,0.392,0.351,40.0,42.5,39.0
67,Albania,0.796,76.5,14.4,11.3,"14,131",17,Europe,Northern Hemisphere,High,ECA,0.33,0.2825,0.198,32.5,22.0,18.5
68,Bulgaria,0.795,71.8,13.9,11.4,"23,079",-8,Europe,Northern Hemisphere,High,,0.348,0.281,0.22349999999999998,22.5,15.5,11.0
68,Grenada,0.795,74.9,18.7,9.0,"13,484",18,America,Northern Hemisphere,High,LAC,,,,49.0,33.5,26.5
70,Barbados,0.79,77.6,15.7,9.9,"12,306",26,America,Northern Hemisphere,High,LAC,0.38649999999999995,0.3405,0.29200000000000004,64.5,43.0,31.0
71,Antigua and Barbuda,0.788,78.5,14.2,9.3,"16,792",2,America,Northern Hemisphere,High,LAC,,,,51.5,44.0,42.5
72,Seychelles,0.785,71.3,13.9,10.3,"25,831",-17,Africa,Southern Hemisphere,High,SSA,,,,55.0,54.0,54.0
73,Sri Lanka,0.782,76.4,14.1,10.8,"12,578",21,Asia,Northern Hemisphere,High,SA,0.46399999999999997,0.439,0.395,68.0,47.0,37.0
74,Bosnia and Herzegovina,0.78,75.3,13.8,10.5,"15,242",4,Europe,Northern Hemisphere,High,ECA,,0.222,0.162,22.5,14.0,10.0
75,Saint Kitts and Nevis,0.777,71.7,15.4,8.7,"23,358",-16,America,Northern Hemisphere,High,LAC,,,,,,
77,Ukraine,0.773,71.6,15.0,11.1,"13,256",11,Europe,Northern Hemisphere,High,ECA,0.4195,0.34099999999999997,0.259,41.0,30.0,21.0
78,North Macedonia,0.77,73.8,13.6,10.2,"15,918",-3,Europe,Northern Hemisphere,High,ECA,0.3785,0.252,0.15000000000000002,15.0,10.5,7.5
79,China,0.768,78.2,14.2,7.6,"17,504",-8,Asia,Northern Hemisphere,High,EAP,0.275,0.264,0.2185,78.5,47.5,31.5
80,Dominican Republic,0.767,72.6,14.5,9.3,"17,990",-11,America,Northern Hemisphere,High,LAC,0.5455,0.4975,0.45799999999999996,124.5,88.0,95.0
80,Palau,0.767,66.0,15.8,12.5,"13,819",5,Oceania,Northern Hemisphere,High,EAP,,,,,,
83,Cuba,0.764,73.7,14.4,12.5,"7,879",37,America,Northern Hemisphere,High,LAC,0.4085,0.351,0.316,55.5,43.5,37.0
84,Peru,0.762,72.4,15.4,9.9,"12,246",13,America,Southern Hemisphere,High,LAC,0.5469999999999999,0.47050000000000003,0.40800000000000003,201.5,124.0,95.0
85,Armenia,0.759,72.0,13.1,11.3,"13,158",4,Asia,Northern Hemisphere,High,ECA,0.46599999999999997,0.39949999999999997,0.279,47.5,37.5,28.0
86,Mexico,0.758,70.2,14.9,9.2,"17,896",-16,America,Northern Hemisphere,High,LAC,0.482,0.434,0.35550000000000004,61.5,50.5,38.0
87,Brazil,0.754,72.8,15.6,8.1,"14,370",-5,America,Southern Hemisphere,High,LAC,0.534,0.47850000000000004,0.4185,95.0,67.0,60.5
88,Colombia,0.752,72.8,14.4,8.9,"14,384",-7,America,Northern Hemisphere,High,LAC,0.514,0.48050000000000004,0.4435,108.5,89.5,83.5
89,Saint Vincent and the Grenadines,0.751,69.6,14.7,10.8,"11,961",11,America,Northern Hemisphere,High,LAC,,,0.39,81.5,71.5,66.0
90,Maldives,0.747,79.9,12.6,7.3,"15,448",-14,Asia,Northern Hemisphere,High,SA,0.6194999999999999,0.4525,0.3705,358.5,96.0,57.5
91,Azerbaijan,0.745,69.4,13.5,10.5,"14,257",-8,Asia,Northern Hemisphere,High,ECA,0.351,0.346,0.3165,43.0,39.0,28.0
91,Algeria,0.745,76.4,14.6,8.1,"10,800",13,Africa,Northern Hemisphere,High,AS,0.6555,0.5585,0.5075000000000001,198.5,138.0,114.0
91,Turkmenistan,0.745,69.3,13.2,11.3,"13,021",-1,Asia,Northern Hemisphere,High,ECA,0.3,0.235,0.1945,50.5,19.5,8.5
91,Tonga,0.745,71.0,16.0,11.4,"6,822",34,Oceania,Southern Hemisphere,High,EAP,0.6885,0.655,0.5295,87.0,67.0,54.0
95,Ecuador,0.74,73.7,14.6,8.8,"10,312",11,America,Southern Hemisphere,High,LAC,0.556,0.4685,0.39649999999999996,161.0,100.0,67.5
96,Mongolia,0.739,71.0,15.0,9.4,"10,588",9,Asia,Northern Hemisphere,High,EAP,0.478,0.425,0.364,184.5,110.5,52.0
97,Egypt,0.731,70.2,13.8,9.6,"11,732",4,Africa,Northern Hemisphere,High,AS,0.646,0.587,0.498,99.0,54.5,39.5
97,Tunisia,0.731,73.8,15.4,7.4,"10,258",10,Africa,Northern Hemisphere,High,AS,0.48000000000000004,0.34199999999999997,0.27449999999999997,102.5,56.0,44.5
99,Fiji,0.73,67.1,14.7,10.9,"9,980",9,Oceania,Southern Hemisphere,High,EAP,0.471,0.4065,0.35650000000000004,63.0,45.0,36.0
99,Suriname,0.73,70.3,13.0,9.8,"12,672",-6,America,Northern Hemisphere,High,LAC,,0.517,0.4625,212.0,184.5,129.5
101,Uzbekistan,0.727,70.9,12.5,11.9,"7,917",18,Asia,Northern Hemisphere,High,ECA,,0.3145,0.259,46.5,36.0,30.5
102,Dominica,0.72,72.8,13.3,8.1,"11,488",0,America,Northern Hemisphere,High,LAC,,,,,,
102,Jordan,0.72,74.3,10.6,10.4,"9,924",8,Asia,Northern Hemisphere,High,AS,0.6345000000000001,0.5375,0.475,84.5,61.5,49.0
104,Libya,0.718,71.9,12.9,7.6,"15,336",-27,Africa,Northern Hemisphere,High,AS,,0.28,0.274,84.5,61.5,64.0
105,Paraguay,0.717,70.3,13.0,8.9,"12,349",-10,America,Southern Hemisphere,High,LAC,0.5800000000000001,0.5225,0.46399999999999997,190.0,136.5,93.5
106,Saint Lucia,0.715,71.1,12.9,8.5,"12,048",-7,America,Northern Hemisphere,High,LAC,0.4595,0.4145,0.3835,81.5,97.5,116.5
