HDI rank,Country,Human Development Index (HDI Value) ,Continent,Hemisphere,Human Development Groups,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021),Maternal Mortality Ratio Average (1990-1999),Maternal Mortality Ratio Average (2000-2010),Maternal Mortality Ratio Average (2011-2021)
127,Bhutan,0.666,Asia,Northern Hemisphere,Medium,,0.526,0.46399999999999997,618.0,335.0,211.0
128,Cabo Verde,0.662,Africa,Northern Hemisphere,Medium,,,0.349,226.5,94.0,62.5
129,Bangladesh,0.661,Asia,Northern Hemisphere,Medium,0.7104999999999999,0.6479999999999999,0.562,520.0,346.0,210.5
130,Tuvalu,0.641,Oceania,Southern Hemisphere,Medium,,,,,,
131,Marshall Islands,0.639,Oceania,Northern Hemisphere,Medium,,,,,,
132,India,0.633,Asia,Northern Hemisphere,Medium,0.69,0.623,0.5329999999999999,493.5,290.0,165.0
133,Ghana,0.632,Africa,Northern Hemisphere,Medium,0.627,0.5885,0.5505,600.5,411.5,323.5
135,Guatemala,0.627,America,Northern Hemisphere,Medium,0.592,0.5665,0.511,195.0,145.0,108.5
136,Kiribati,0.624,Oceania,Northern Hemisphere,Medium,,,,177.5,124.0,101.0
137,Honduras,0.621,America,Northern Hemisphere,Medium,0.536,0.5015000000000001,0.4485,124.0,79.5,68.5
138,Sao Tome and Principe,0.618,Africa,Northern Hemisphere,Medium,0.6174999999999999,0.5745,0.5195000000000001,225.0,159.5,133.5
139,Namibia,0.615,Africa,Southern Hemisphere,Medium,0.55,0.5205,0.471,327.5,307.0,225.5
140,Timor-Leste,0.607,Asia,Southern Hemisphere,Medium,,0.453,0.40800000000000003,1076.0,482.0,170.0
140,Vanuatu,0.607,Oceania,Southern Hemisphere,Medium,,,,190.5,116.0,80.0
143,Nepal,0.602,Asia,Northern Hemisphere,Medium,0.7015,0.5905,0.482,782.0,429.0,235.5
145,Equatorial Guinea,0.596,Africa,Northern Hemisphere,Medium,,,,796.5,381.0,304.5
146,Cambodia,0.593,Asia,Northern Hemisphere,Medium,0.6535,0.556,0.484,699.0,368.0,196.0
146,Zimbabwe,0.593,Africa,Southern Hemisphere,Medium,0.6034999999999999,0.6085,0.5595,486.5,588.5,507.5
148,Angola,0.586,Africa,Southern Hemisphere,Medium,0.7015,0.611,0.5405,1029.5,576.5,270.5
149,Myanmar,0.585,Asia,Northern Hemisphere,Medium,,0.555,0.5349999999999999,391.0,302.5,254.5
150,Syrian Arab Republic,0.577,Asia,Northern Hemisphere,Medium,0.5165,0.485,0.484,34.0,26.5,29.5
151,Cameroon,0.576,Africa,Northern Hemisphere,Medium,0.7,0.6599999999999999,0.595,851.5,741.5,559.0
152,Kenya,0.575,Africa,Northern Hemisphere,Medium,0.704,0.6425,0.5469999999999999,720.5,570.0,370.0
153,Congo,0.571,Africa,Southern Hemisphere,Medium,0.624,0.6174999999999999,0.586,713.0,622.5,433.0
154,Zambia,0.565,Africa,Southern Hemisphere,Medium,0.657,0.617,0.565,599.5,416.5,248.0
155,Solomon Islands,0.564,Oceania,Southern Hemisphere,Medium,,,,329.5,193.0,119.0
156,Comoros,0.558,Africa,Southern Hemisphere,Medium,,,,522.0,392.5,299.5
156,Papua New Guinea,0.558,Oceania,Southern Hemisphere,Medium,0.6625000000000001,0.6545000000000001,0.6885,299.0,208.5,155.5
158,Mauritania,0.556,Africa,Northern Hemisphere,Medium,0.782,0.7005,0.643,822.0,829.0,794.0
161,Pakistan,0.544,Asia,Northern Hemisphere,Low,0.79,0.673,0.5555,358.0,238.5,160.0
162,Togo,0.539,Africa,Northern Hemisphere,Low,0.732,0.6435,0.604,509.0,464.5,409.0
163,Haiti,0.535,America,Northern Hemisphere,Low,,0.625,0.6325000000000001,572.5,471.5,488.0
163,Nigeria,0.535,Africa,Northern Hemisphere,Low,,0.672,0.678,1220.0,1089.0,944.5
165,Rwanda,0.534,Africa,Southern Hemisphere,Low,0.599,0.5065,0.41500000000000004,1225.0,766.5,298.5
166,Benin,0.525,Africa,Northern Hemisphere,Low,0.6855,0.646,0.614,548.5,492.0,427.5
166,Uganda,0.525,Africa,Northern Hemisphere,Low,0.653,0.6005,0.542,668.5,504.0,397.0
168,Lesotho,0.514,Africa,Southern Hemisphere,Low,0.5854999999999999,0.5715,0.557,600.0,604.0,564.5
169,Malawi,0.512,Africa,Southern Hemisphere,Low,0.7025,0.639,0.5715,867.5,596.5,388.5
170,Senegal,0.511,Africa,Northern Hemisphere,Low,0.6695,0.6225,0.5549999999999999,569.5,500.0,369.0
171,Djibouti,0.509,Africa,Northern Hemisphere,Low,,,,564.5,395.0,260.0
172,Sudan,0.508,Africa,Northern Hemisphere,Low,0.728,0.659,0.5785,792.5,537.5,342.5
173,Madagascar,0.501,Africa,Southern Hemisphere,Low,0.637,0.62,0.577,660.5,506.0,383.5
174,Gambia,0.5,Africa,Northern Hemisphere,Low,0.767,0.706,0.6335,972.5,796.5,626.5
175,Ethiopia,0.498,Africa,Northern Hemisphere,Low,,0.596,0.556,1155.0,813.5,479.5
176,Eritrea,0.492,Africa,Northern Hemisphere,Low,,,,1550.0,923.5,519.0
177,Guinea-Bissau,0.483,Africa,Northern Hemisphere,Low,,0.661,0.643,1335.0,994.5,714.5
178,Liberia,0.481,Africa,Northern Hemisphere,Low,,0.671,0.657,1055.0,801.0,677.5
180,Afghanistan,0.478,Asia,Northern Hemisphere,Low,,0.753,0.712,1485.0,1202.0,771.5
181,Sierra Leone,0.477,Africa,Northern Hemisphere,Low,0.691,0.6745,0.6445000000000001,2760.0,1920.0,1195.0
