HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
163,Haiti,0.535,63.2,9.7,5.6,"2,848",2,HTI,America,Northern Hemisphere,Low,LAC,,0.625,0.6325000000000001
46,Hungary,0.846,74.5,15.0,12.2,"32,789",-2,HUN,Europe,Northern Hemisphere,Very High,,0.318,0.26549999999999996,0.23149999999999998
114,Indonesia,0.705,67.6,13.7,8.6,"11,466",-11,IDN,Asia,Southern Hemisphere,High,EAP,0.577,0.5345,0.47
132,India,0.633,67.2,11.9,6.7,"6,590",-6,IND,Asia,Northern Hemisphere,Medium,SA,0.69,0.623,0.5329999999999999
8,Ireland,0.945,82.0,18.9,11.6,"76,169",-3,IRL,Europe,Northern Hemisphere,Very High,,0.2075,0.1825,0.10700000000000001
121,Iraq,0.686,70.4,12.1,7.9,"9,977",-12,IRQ,Asia,Northern Hemisphere,Medium,AS,0.6945,0.614,0.565
3,Iceland,0.959,82.7,19.2,13.8,"55,782",11,ISL,Europe,Northern Hemisphere,Very High,,0.16599999999999998,0.11699999999999999,0.0655
22,Israel,0.919,82.3,16.1,13.3,"41,524",10,ISR,Asia,Northern Hemisphere,Very High,,0.23500000000000001,0.16899999999999998,0.11050000000000001
30,Italy,0.895,82.9,16.2,10.7,"42,840",0,ITA,Europe,Northern Hemisphere,Very High,,0.199,0.1545,0.0875
110,Jamaica,0.709,70.5,13.4,9.2,"8,834",4,JAM,America,Northern Hemisphere,High,LAC,0.4555,0.4255,0.372
102,Jordan,0.72,74.3,10.6,10.4,"9,924",8,JOR,Asia,Northern Hemisphere,High,AS,0.6345000000000001,0.5375,0.475
19,Japan,0.925,84.8,15.2,13.4,"42,274",12,JPN,Asia,Northern Hemisphere,Very High,,0.1585,0.1305,0.098
56,Kazakhstan,0.811,69.4,15.8,12.3,"23,943",1,KAZ,Asia,Northern Hemisphere,Very High,ECA,0.4065,0.3275,0.21500000000000002
152,Kenya,0.575,61.4,10.7,6.7,"4,474",-6,KEN,Africa,Northern Hemisphere,Medium,SSA,0.704,0.6425,0.5469999999999999
118,Kyrgyzstan,0.692,70.0,13.2,11.4,"4,566",26,KGZ,Asia,Northern Hemisphere,Medium,ECA,0.482,0.4145,0.3795
146,Cambodia,0.593,69.6,11.5,5.1,"4,079",3,KHM,Asia,Northern Hemisphere,Medium,EAP,0.6535,0.556,0.484
136,Kiribati,0.624,67.4,11.8,8.0,"4,063",14,KIR,Oceania,Northern Hemisphere,Medium,EAP,,,
75,Saint Kitts and Nevis,0.777,71.7,15.4,8.7,"23,358",-16,KNA,America,Northern Hemisphere,High,LAC,,,
50,Kuwait,0.831,78.7,15.3,7.3,"52,920",-32,KWT,Asia,Northern Hemisphere,Very High,AS,0.5774999999999999,0.3925,0.2605
112,Lebanon,0.706,75.0,11.3,8.7,"9,526",-1,LBN,Asia,Northern Hemisphere,High,AS,,0.445,0.442
178,Liberia,0.481,60.7,10.4,5.1,"1,289",7,LBR,Africa,Northern Hemisphere,Low,SSA,,0.671,0.657
104,Libya,0.718,71.9,12.9,7.6,"15,336",-27,LBY,Africa,Northern Hemisphere,High,AS,,0.28,0.274
106,Saint Lucia,0.715,71.1,12.9,8.5,"12,048",-7,LCA,America,Northern Hemisphere,High,LAC,0.4595,0.4145,0.3835
16,Liechtenstein,0.935,83.3,15.2,12.5,"146,830",-15,LIE,Europe,Northern Hemisphere,Very High,,,,
